movie_name,movie_url,movie_opening,movie_weekend,movie_first_week,movie_total_collection,movie_worlwide,movie_genre,movie_release_date & movie length,movie_banner,movie_director,movie_director_url,movie_producer,movie_moviedetails,movie_actors
Angrezi Medium,https://www.bollywoodmdb.com/movies/hindi-medium-2/16445,: 4.03 cr,: 9.03 cr,: 9.36 cr,: 9.36 cr,: 13.50 cr,"Drama, Comedy","13 March, 2020 | 2 hrs 25 mins","Banner : Maddock Films, Jio Studios",Homi Adajania,https://www.bollywoodmdb.com/celebrities/homi-adajania/13608,"Producer : Dinesh Vijan , Jyoti Deshpande","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.","Star : Irrfan Khan , Radhika Madan, Kareena Kapoor"
Baaghi 3,https://www.bollywoodmdb.com/movies/baaghi-3/16444,: 17.50 cr,: 53.83 cr,: 90.67 cr,: 93.37 cr,: 137 cr,Action,"06 March, 2020 | 2 hrs 27 mins","Banner : Nadiadwala Grandson Entertainment, Fox Star Studios",Ahmed Khan,https://www.bollywoodmdb.com/celebrities/ahmed-khan/4219,Producer : Sajid Nadiadwala,A man embarks on a bloody rampage to save his kidnapped brother.,"Star : Tiger Shroff , Shraddha Kapoor, Riteish Deshmukh"
Thappad,https://www.bollywoodmdb.com/movies/thappad/16643,: 3.07 cr,: 14.66 cr,: 22.79 cr,: 30.61 cr,: 44.50 cr,"Drama, Social","28 February, 2020 | 2 hrs 22 mins","Banner : Benaras Media Works, T-Series Super Cassettes Industries Ltd.",Anubhav Sinha,https://www.bollywoodmdb.com/celebrities/anubhav-sinha/4215,"Producer : Bhushan Kumar , Krishan Kumar, Anubhav Sinha",Thappad is a story of Amrita whose seemingly perfect life is shattered when her husband slaps her once in a party. But is one slap enough to question what a relationship stands for?,"Star : Taapsee Pannu , Pavail Gulati, Dia Mirza"
Shubh Mangal Zyada Saavdhan,https://www.bollywoodmdb.com/movies/shubh-mangal-zyada-saavdhan/16586,: 9.55 cr,: 32.66 cr,: 44.84 cr,: 62.78 cr,: 86.39 cr,"Comedy, Romance","21 February, 2020 | 2 hrs","Banner : Colour Yellow Productions Pvt Ltd, T-Series Super Cassettes Industries Ltd.",Hitesh Kewalya,https://www.bollywoodmdb.com/celebrities/hitesh-kewalya/35183,"Producer : Aanand L Rai , Himanshu Sharma, Bhushan Kumar","The road to achieving a happy ending is a little too rough for Kartik and Aman. While Aman's family tries hard to battle his love for Kartik, Kartik isn't prepared to step back until he marries Aman.","Star : Ayushman Khurana , Jitendra Kumar, Gajraj Rao"
Bhoot: Part One - The Haunted Ship,https://www.bollywoodmdb.com/movies/bhoot-part-one-the-haunted-ship/16606,: 5.10 cr,: 16.36 cr,: 24.18 cr,: 31.97 cr,: 40.94 cr,Horror,"21 February, 2020 | 1 hrs 57 mins","Banner : Dharma Productions, Zee Studios",Bhanu Pratap Singh,https://www.bollywoodmdb.com/celebrities/bhanu-pratap-singh/36834,"Producer : Hiroo Johar , Karan Johar, Apoorva Mehta",A couple is trapped on an abandoned ship lying static on a beach.,"Star : Vicky Kaushal , Bhumi Pednekar, Ashutosh Rana"
Love Aaj Kal,https://www.bollywoodmdb.com/movies/aaj-kal/16576,: 12 cr,: 26 cr,: 32.60 cr,: 34.99 cr,: 52.60 cr,Romance,"14 February, 2020 | 2 hrs 21 mins","Banner : Maddock Films, Jio Studios, Reliance Entertainment",Imtiaz Ali,https://www.bollywoodmdb.com/celebrities/imtiaz-ali/4483,"Producer : Dinesh Vijan , Imtiaz Ali","Two different individuals on a journey of love, loss and life through the phases of Reincarnation.","Star : Kartik Aaryan , Sara Ali Khan, Arushi Sharma"
Malang,https://www.bollywoodmdb.com/movies/malang/16343,: 6.71 cr,: 25.36 cr,: 39.65 cr,: 58.04 cr,: 76.30 cr,"Romance, Action","07 February, 2020 | 2 hrs 14 mins","Banner : Luv Films, Northern Lights Films, T-Series Super Cassettes Industries Ltd.",Mohit Suri,https://www.bollywoodmdb.com/celebrities/mohit-suri/4646,"Producer : Bhushan Kumar , Krishan Kumar, Luv Ranjan","Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.","Star : Aditya Roy Kapur , Disha Patani, Anil Kapoor"
Shikara,https://www.bollywoodmdb.com/movies/shikara-a-love-letter-from-kashmir/16657,: 1.20 cr,: 4.95 cr,: 6.70 cr,: 7.95 cr,: ---,"Drama, Romance","07 February, 2020 | 2 hrs",Banner : Fox Star Studios,Vidhu Vinod Chopra,https://www.bollywoodmdb.com/celebrities/vidhu-vinod-chopra/5247,Producer : Vidhu Vinod Chopra,Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.,"Star : Sadia , Aadil Khan"
Jawaani Jaaneman,https://www.bollywoodmdb.com/movies/jawani-janeman/16525,: 3.24 cr,: 12.83 cr,: 20.21 cr,: 27.91 cr,: 43.83 cr,"Comedy, Drama","31 January, 2020 | 1 hrs 59 mins","Banner : Pooja Entertainment, Black Knight Films, Northern Lights Films",Nitin Kakkar,https://www.bollywoodmdb.com/celebrities/nitin-kakkar/29626,"Producer : Jackky Bhagnani , Deepshikha Deshmukh, Saif Ali Khan",A 40 year-old playboy's life turns upside down when he comes to know that he has a 20 something year-old daughter.,"Star : Saif Ali Khan , Alaya F, Tabu"
Panga,https://www.bollywoodmdb.com/movies/panga/16513,: 2.70 cr,: 14.91 cr,: 21.36 cr,: 25.64 cr,: 41.58 cr,"Sports, Drama","24 January, 2020 | 2 hrs 9 mins",Banner : Fox Star Studios,Ashwiny Iyer Tiwari,https://www.bollywoodmdb.com/celebrities/ashwiny-iyer-tiwari/34210,Producer : Fox Star Studios,"Panga is inspired from the life of a national level Kabbadi player from India. It follows her triumphs, struggle and overcoming of stereotypes. It shows how important the love and support of your family is for you to be successful.","Star : Kangana Ranaut , Jassie Gill, Richa Chadda"
